,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34162,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34162,7,4.381657309525312e-05,0.67,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34162,7,0.0001891362955178489,0.12,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34162,7,0.00040014560940945934,0.84,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34162,7,1.1021218023814851e-05,0.92,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34162,7,0.0008563055078528952,0.84,0.999999980966251
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34162,7,3.369233758333196e-05,0.73,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34162,7,2.6947323237141373e-05,1.0,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34162,7,1.882005898834453e-05,0.85,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34162,7,3.246896017872489e-05,0.55,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34162,7,0.00026922573688406375,0.09,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34162,7,0.0007602494130853443,0.99,0.9999999997706335
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34162,7,0.0004013168535592757,0.98,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34162,7,0.0013230668053906432,0.64,0.9951847405093455
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34162,7,0.002887463081136332,0.93,8.239782183472322e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34162,7,0.0003332614013502093,0.92,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34162,7,0.0018496173005865253,0.25,0.5247229217619189
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34162,7,0.0006466694919362365,0.96,0.9999999999996781
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34162,7,0.0018891283591535375,0.0,0.45744447282553635
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34162,7,0.0007209321054367238,0.84,0.9999999999715865
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34162,7,0.0007599955496460271,0.55,0.9999999997735776
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34162,7,0.002028620133992942,0.11,0.24668109054977383
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34162,7,0.000771097363671445,0.19,0.9999999996042406
