,L_NRCw_Em_anger,L_NRCw_Em_anticipation,L_NRCw_Em_disgust,L_NRCw_Em_fear,L_NRCw_Em_joy,L_NRCw_Em_negative,L_NRCw_Em_positive,L_NRCw_Em_sadness,L_NRCw_Em_surprise,L_NRCw_Em_trust,R_agent,R_patient,i,lemma,neg,t,text
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,3,father,False,0,father
1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,My,,16,infant,False,0,infant
2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,My,,16,infant,False,0,infant
3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,My,,16,infant,False,0,infant
4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,My,,16,infant,False,0,infant
5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,My,,16,infant,False,0,infant
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,51,father,False,46,father
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,My,,57,authority,False,46,authority
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,My,,57,authority,False,46,authority
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,79,father,False,74,father
10,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
11,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
12,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
13,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
14,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
15,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,82,mother,False,74,mother
16,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
17,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
18,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,My,,107,fancy,False,74,fancies
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,My,,127,father,False,120,father
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,father,,143,dark,False,120,dark
21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,father,,148,black,False,120,black
22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,father,,148,black,False,120,black
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,My,,171,childish,False,151,childish
24,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
25,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
26,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
27,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
28,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
29,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,My,,175,mother,False,151,mother
30,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,My,,179,sickly,False,151,sickly
31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,My,,179,sickly,False,151,sickly
32,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,My,,179,sickly,False,151,sickly
